# บัญชีรายการต้นฉบับและสถานะงาน

ปรับปรุงเมื่อ 2026-08-09

โฟลเดอร์นี้เป็นผลลัพธ์แยกจากต้นฉบับเดิม การแปลจะจัดทำเป็นภาษาไทยฉบับเต็ม โดยระบุว่าเป็นคำแปลเพื่อการอ้างอิง

| ไฟล์ต้นฉบับ | จำนวนหน้า | ขนาด (ไบต์) | สถานะ |
|---|---:|---:|---|
| CAT.pdf | 13 | 123,892 | รอแปลและตรวจเทียบ |
| CED.pdf | 17 | 133,711 | รอแปลและตรวจเทียบ |
| CEDAW.pdf | 10 | 92,678 | รอแปลและตรวจเทียบ |
| CERD.pdf | 9 | 93,117 | รอแปลและตรวจเทียบ |
| CMW.pdf | 28 | 164,355 | รอแปลและตรวจเทียบ |
| CRC.pdf | 15 | 115,121 | รอแปลและตรวจเทียบ |
| CRPD.pdf | 91 | 550,249 | รอแปลและตรวจเทียบ |
| ICCPR.pdf | 26 | 253,947 | รอแปลและตรวจเทียบ |
| ICESCR.pdf | 8 | 81,562 | รอแปลและตรวจเทียบ |
| ob-cat-one.pdf | 11 | 90,243 | รอแปลและตรวจเทียบ |
| op-ccpr-death.pdf | 3 | 57,848 | รอแปลและตรวจเทียบ |
| op-ccpr-one.pdf | 3 | 50,079 | รอแปลและตรวจเทียบ |
| op-crc-conflict.pdf | 6 | 96,536 | รอแปลและตรวจเทียบ |
| op-crc-sale.pdf | 8 | 115,219 | รอแปลและตรวจเทียบ |
| op-crc.pdf | 11 | 142,496 | รอแปลและตรวจเทียบ |
| op-crpd.pdf | 5 | 53,449 | รอแปลและตรวจเทียบ |
| OP-cscr.pdf | 9 | 48,425 | รอแปลและตรวจเทียบ |
| OP_CEDAW_en.pdf | 8 | 29,089 | รอแปลและตรวจเทียบ |
| op-crc.docx | ไม่ระบุ | 25,385 | รอแปลและตรวจเทียบ |
